foodmenuname,foodcategoryId,foodingredientId,salesprice,vatId,description,vegitem,beverage,bar,photo
GREEN TEA,655ef7761532830df6b987c0,"[""[\""655ef6041532830df6b987b6\""]""]",1,655ef1cfb3999d1add24f83e,Lemon Tea,no,no,no,imgae-1704202446600. black_friday_banner_02.jpg
KARAK TEA,655ef7761532830df6b987c0,"[""[\""655ef5eb1532830df6b987b2\""]""]",1,655ef1cfb3999d1add24f83e,Black tea,no,no,no,imgae-1704202302991. black_friday_banner_02.jpg
Vada,655ef7971532830df6b987c8,"[""[\""655ef6721532830df6b987bb\""]""]",2,655ef1cfb3999d1add24f83e,Fa,yes,yes,yes,imgae-1702717596398. 1.jpg
Samosa,655ef7971532830df6b987c8,"[""[\""655ef6721532830df6b987bb\""]""]",1,655ef1cfb3999d1add24f83e,ggg,yes,yes,yes,imgae-1702717667601. login.png
Veg Burger,655ef7891532830df6b987c4,"[""[\""655ef6721532830df6b987bb\""]""]",5,655ef1b7b3999d1add24f83a,ggg,no,no,no,imgae-1702717698416. print.png
CHICKEN WITH 3 BREADS,6593cddb6f5d76b3f95cea1c,"[""[\""655ef5c61532830df6b987ae\""]""]",10,655ef1cfb3999d1add24f83e,undefined,no,no,no,imgae-1704185465013. Rectangle 35.png
GINGER CHICKEN,6593cdc46f5d76b3f95cea18,"[""[\""655ef6721532830df6b987bb\""]""]",14,655ef1b7b3999d1add24f83a,ggg,no,no,no,imgae-1704185580956. 2.jpg
GOPI 65,6593cda36f5d76b3f95cea14,"[""[\""655ef6721532830df6b987bb\""]""]",12,655ef1b7b3999d1add24f83a,ggg,no,no,no,imgae-1704185630795. 806701b3-67a1-4f07-ad90-848612a9624f.jpg
VEG FRIED RICE,6593cd846f5d76b3f95cea10,"[""[\""655ef6721532830df6b987bb\""]""]",10,655ef1cfb3999d1add24f83e,ggg,no,no,no,imgae-1704185675042. 89263826-c061-4bbe-9c6c-8e8c5273fcb8.jpg
VEG NOODLES,6593cd636f5d76b3f95cea0c,"[""[\""655ef6041532830df6b987b6\""]""]",11,655ef1cfb3999d1add24f83e,vbb,no,no,no,imgae-1704185719234. Home page banner 1 (1).png
VEG SWEET CORN SOUP,6593cd466f5d76b3f95cea08,"[""[\""655ef6721532830df6b987bb\""]""]",7,655ef1cfb3999d1add24f83e,vvv,no,no,no,imgae-1704185771354. Rectangle 38.png
CHICKEN PEPPER MASALA,6593cd256f5d76b3f95cea04,"[""[\""655ef6721532830df6b987bb\""]""]",14,655ef1cfb3999d1add24f83e,CHICKEN PEPPER MASALA,no,no,no,imgae-1704185830329. Rectangle 48.png
DAL PALAK,6593ccf16f5d76b3f95cea00,"[""[\""655ef6721532830df6b987bb\""]""]",12,655ef1cfb3999d1add24f83e,DAL PALAK,yes,no,no,imgae-1704185875694. Home page banner 1 (1).png
EGG ROAST (2 EGG),6593ccc06f5d76b3f95ce9fc,"[""[\""655ef6721532830df6b987bb\""]""]",7,655ef1cfb3999d1add24f83e,EGG ROAST (2 EGG),yes,no,no,imgae-1704185949131. 1addebb3-4d05-476c-a15b-463ce4c72ba0.png
WEAT POROTA,6593cca26f5d76b3f95ce9f8,"[""[\""655ef6721532830df6b987bb\""]""]",1.5,655ef1cfb3999d1add24f83e,WEAT POROTA,yes,no,no,imgae-1704186001836. banner.jpg
CHEESE HONEY POROTTA SANDWICH,6593cc5c45e19f95fd10e3b5,"[""[\""655ef6721532830df6b987bb\""]""]",3,655ef1cfb3999d1add24f83e,CHEESE HONEY POROTTA SANDWICH,no,no,no,imgae-1704186052109. 1addebb3-4d05-476c-a15b-463ce4c72ba0.png
PINEAPPLE Medium,6593cc3645e19f95fd10e3af,"[""[\""655ef6721532830df6b987bb\""]""]",7,655ef1cfb3999d1add24f83e,PINEAPPLE,no,no,no,imgae-1704186121549. 1addebb3-4d05-476c-a15b-463ce4c72ba0.png
VADASET,655ef7971532830df6b987c8,"[""[\""655ef6721532830df6b987bb\""]""]",3,655ef1cfb3999d1add24f83e,VADASET,no,no,no,imgae-1704186164587. Rectangle 48.png
BLACK TEA,655ef7761532830df6b987c0,"[""[\""655ef6041532830df6b987b6\""]""]",1,655ef1cfb3999d1add24f83e,Black tea,no,no,no,imgae-1704202379947. black_friday_banner_02.jpg
CHINEESE COMBO,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",24,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
