foodmenuname,,foodingredientId,salesprice,vatId,description,vegitem,beverage,bar,photo
KARAK TEA,655ef7971532830df6b987c8,"[""[\""655ef6721532830df6b987bb\""]""]",1,655ef1cfb3999d1add24f83e,Fa,yes,yes,yes,imgae-1702717596398. 1.jpg
BLACK TEA,655ef7971532830df6b987c9,"[""[\""655ef6721532830df6b987bb\""]""]",1,655ef1cfb3999d1add24f83e,ggg,yes,yes,yes,imgae-1702717667601. login.png
GREEN TEA,655ef7971532830df6b987c10,"[""[\""655ef6721532830df6b987bb\""]""]",1,655ef1b7b3999d1add24f83a,ggg,no,no,no,imgae-1702717698416. print.png
FRESH MILK TEA,655ef7971532830df6b987c11,"[""[\""655ef5c61532830df6b987ae\""]""]",2,655ef1cfb3999d1add24f83e,undefined,no,no,no,imgae-1704185465013. Rectangle 35.png
LEMON TEA,655ef7971532830df6b987c12,"[""[\""655ef6721532830df6b987bb\""]""]",2,655ef1b7b3999d1add24f83a,ggg,no,no,no,imgae-1704185580956. 2.jpg
GINGER TEA,655ef7971532830df6b987c13,"[""[\""655ef6721532830df6b987bb\""]""]",2,655ef1b7b3999d1add24f83a,ggg,no,no,no,imgae-1704185630795. 806701b3-67a1-4f07-ad90-848612a9624f.jpg
FRESH MILK,655ef7971532830df6b987c14,"[""[\""655ef6721532830df6b987bb\""]""]",2,655ef1cfb3999d1add24f83e,ggg,no,no,no,imgae-1704185675042. 89263826-c061-4bbe-9c6c-8e8c5273fcb8.jpg
KARAK ZAFRAN,655ef7971532830df6b987c15,"[""[\""655ef6041532830df6b987b6\""]""]",2,655ef1cfb3999d1add24f83e,vbb,no,no,no,imgae-1704185719234. Home page banner 1 (1).png
BLACK COFFEE,655ef7971532830df6b987c16,"[""[\""655ef6721532830df6b987bb\""]""]",2,655ef1cfb3999d1add24f83e,vvv,no,no,no,imgae-1704185771354. Rectangle 38.png
CHUCK COFFEE,655ef7971532830df6b987c17,"[""[\""655ef6721532830df6b987bb\""]""]",2,655ef1cfb3999d1add24f83e,CHICKEN PEPPER MASALA,no,no,no,imgae-1704185830329. Rectangle 48.png
MILK COFFEE,655ef7971532830df6b987c18,"[""[\""655ef6721532830df6b987bb\""]""]",3,655ef1cfb3999d1add24f83e,DAL PALAK,yes,no,no,imgae-1704185875694. Home page banner 1 (1).png
BOOST,655ef7971532830df6b987c19,"[""[\""655ef6721532830df6b987bb\""]""]",3,655ef1cfb3999d1add24f83e,EGG ROAST (2 EGG),yes,no,no,imgae-1704185949131. 1addebb3-4d05-476c-a15b-463ce4c72ba0.png
HORLICKS,655ef7971532830df6b987c20,"[""[\""655ef6721532830df6b987bb\""]""]",3,655ef1cfb3999d1add24f83e,WEAT POROTA,yes,no,no,imgae-1704186001836. banner.jpg
BADAM MILK,655ef7971532830df6b987c21,"[""[\""655ef6721532830df6b987bb\""]""]",4,655ef1cfb3999d1add24f83e,CHEESE HONEY POROTTA SANDWICH,no,no,no,imgae-1704186052109. 1addebb3-4d05-476c-a15b-463ce4c72ba0.png
HOT CHOCOLATE,655ef7971532830df6b987c22,"[""[\""655ef6721532830df6b987bb\""]""]",4,655ef1cfb3999d1add24f83e,PINEAPPLE,no,no,no,imgae-1704186121549. 1addebb3-4d05-476c-a15b-463ce4c72ba0.png
SNACK1,655ef7971532830df6b987c23,"[""[\""655ef6721532830df6b987bb\""]""]",1,655ef1cfb3999d1add24f83e,VADASET,no,no,no,imgae-1704186164587. Rectangle 48.png
SNACK2,655ef7971532830df6b987c24,"[""[\""655ef6041532830df6b987b6\""]""]",1.5,655ef1cfb3999d1add24f83e,Black tea,no,no,no,imgae-1704202379947. black_friday_banner_02.jpg
SNACK3,655ef7971532830df6b987c25,"[""[\""655ef6721532830df6b987bb\""]""]",2,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
SNACK4,655ef7971532830df6b987c26,"[""[\""655ef6721532830df6b987bb\""]""]",2.5,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
SNACK5,655ef7971532830df6b987c27,"[""[\""655ef6721532830df6b987bb\""]""]",3,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
SNACK6,655ef7971532830df6b987c28,"[""[\""655ef6721532830df6b987bb\""]""]",4,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
SNACK7,655ef7971532830df6b987c29,"[""[\""655ef6721532830df6b987bb\""]""]",5,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
PAZHAM PORI BEEF,655ef7971532830df6b987c30,"[""[\""655ef6721532830df6b987bb\""]""]",12,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
VADASET,655ef7971532830df6b987c8,"[""[\""655ef6721532830df6b987bb\""]""]",3,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
UPMA SET,655ef7971532830df6b987c9,"[""[\""655ef6721532830df6b987bb\""]""]",5,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
IDLY SET,655ef7971532830df6b987c10,"[""[\""655ef6721532830df6b987bb\""]""]",6,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
IDLY VADA SET,655ef7971532830df6b987c11,"[""[\""655ef6721532830df6b987bb\""]""]",6,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
IDIYAPPAM + VEG KURMA,655ef7971532830df6b987c12,"[""[\""655ef6721532830df6b987bb\""]""]",7,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
PUTTU + KADALA CURRY,655ef7971532830df6b987c13,"[""[\""655ef6721532830df6b987bb\""]""]",7,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
WHEAT PUTTU + KADALA CURRY,655ef7971532830df6b987c14,"[""[\""655ef6721532830df6b987bb\""]""]",7,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
PURI + BHAJI,655ef7971532830df6b987c15,"[""[\""655ef6721532830df6b987bb\""]""]",7,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
APPAM + EGG ROAST,655ef7971532830df6b987c16,"[""[\""655ef6721532830df6b987bb\""]""]",8,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
PURI + EGG ROAST,655ef7971532830df6b987c17,"[""[\""655ef6721532830df6b987bb\""]""]",8,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
PLAIN DOSA,655ef7971532830df6b987c18,"[""[\""655ef6721532830df6b987bb\""]""]",4,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
SET DOSA,655ef7971532830df6b987c19,"[""[\""655ef6721532830df6b987bb\""]""]",5,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
GHEE DOSA,655ef7971532830df6b987c20,"[""[\""655ef6721532830df6b987bb\""]""]",6,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
